Disease,Disease ID,Disease Acronym
Maturity-onset diabetes of the young 4,DI-01946,MODY4
Maturity-onset diabetes of the young 6,DI-01947,MODY6
Maturity-onset diabetes of the young 7,DI-01948,MODY7
Maturity-onset diabetes of the young 8 with exocrine dysfunction,DI-01949,MODY8
Maturity-onset diabetes of the young 9,DI-01950,MODY9
McCune-Albright syndrome,DI-01952,MAS
McKusick-Kaufman syndrome,DI-01953,MKKS
McLeod syndrome,DI-01954,MLS
Meacham syndrome,DI-01955,MEACHS
Meckel syndrome 1,DI-00700,MKS1
Meckel syndrome 10,DI-03233,MKS10
Meckel syndrome 11,DI-03873,MKS11
Meckel syndrome 12,DI-04349,MKS12
Meckel syndrome 13,DI-05035,MKS13
Meckel syndrome 2,DI-02862,MKS2
Meckel syndrome 3,DI-00701,MKS3
Meckel syndrome 4,DI-00702,MKS4
Meckel syndrome 5,DI-00703,MKS5
Meckel syndrome 6,DI-00704,MKS6
Meckel syndrome 7,DI-02861,MKS7
Meckel syndrome 8,DI-03026,MKS8
Meckel syndrome 9,DI-03221,MKS9
Meconium ileus,DI-03452,MECIL
Medullary cystic kidney disease 1,DI-03826,MCKD1
Medullary cystic kidney disease 2,DI-00705,MCKD2
Medullary thyroid carcinoma,DI-01957,MTC
Medulloblastoma,DI-01958,MDB
Meester-Loeys syndrome,DI-04917,MRLS
Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations,DI-05456,MCCCHCM
"Megabladder, congenital",DI-05721,MGBL
Megacystis-microcolon-intestinal hypoperistalsis syndrome,DI-05709,MMIHS
Megalencephaly-capillary malformation-polymicrogyria syndrome,DI-03624,MCAP
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,DI-03625,MPPH1
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,DI-04183,MPPH2
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3,DI-04184,MPPH3
Megaloblastic anemia due to dihydrofolate reductase deficiency,DI-03110,DHFRD
"Megalocornea 1, X-linked",DI-03435,MGC1
MEHMO syndrome,DI-05173,MEHMO
Meier-Gorlin syndrome 1,DI-03043,MGORS1
Meier-Gorlin syndrome 2,DI-03044,MGORS2
Meier-Gorlin syndrome 3,DI-03045,MGORS3
Meier-Gorlin syndrome 4,DI-03046,MGORS4
Meier-Gorlin syndrome 5,DI-03047,MGORS5
Meier-Gorlin syndrome 6,DI-04664,MGORS6
Meier-Gorlin syndrome 7,DI-04797,MGORS7
Meier-Gorlin syndrome 8,DI-05038,MGORS8
"Melanocytic nevus syndrome, congenital",DI-04099,CMNS
"Melanoma, cutaneous malignant 10",DI-04136,CMM10
"Melanoma, cutaneous malignant 2",DI-01459,CMM2
"Melanoma, cutaneous malignant 3",DI-01460,CMM3
"Melanoma, cutaneous malignant 5",DI-02516,CMM5
"Melanoma, cutaneous malignant 6",DI-03126,CMM6
"Melanoma, cutaneous malignant 8",DI-03341,CMM8
"Melanoma, cutaneous malignant 9",DI-03701,CMM9
Melanoma-astrocytoma syndrome,DI-01961,MASTS
"Melanosis, neurocutaneous",DI-04100,NCMS
Melnick-Needles syndrome,DI-01962,MNS
"Melorheostosis, isolated",DI-01963,MEL
MEND syndrome,DI-04527,MEND
Meningioma,DI-04248,MNGMA
Menke-Hennekam syndrome 1,DI-05487,MKHK1
Menke-Hennekam syndrome 2,DI-05488,MKHK2
Menkes disease,DI-00706,MNK
Mental retardation and distinctive facial features with or without cardiac defects,DI-04642,MRFACD
Mental retardation and microcephaly with pontine and cerebellar hypoplasia,DI-00709,MICPCH
Mental retardation with language impairment and autistic features,DI-02984,MRLIAF
"Mental retardation, anterior maxillary protrusion, and strabismus",DI-02951,MRAMS
"Mental retardation, aphasia, shuffling gait, and adducted thumbs syndrome",DI-00707,MASA
"Mental retardation, autosomal dominant 1",DI-00710,MRD1
"Mental retardation, autosomal dominant 10",DI-03253,MRD10
"Mental retardation, autosomal dominant 11",DI-03254,MRD11
"Mental retardation, autosomal dominant 13",DI-03425,MRD13
"Mental retardation, autosomal dominant 18",DI-03650,MRD18
"Mental retardation, autosomal dominant 2",DI-03185,MRD2
"Mental retardation, autosomal dominant 20",DI-02856,MRD20
"Mental retardation, autosomal dominant 21",DI-03927,MRD21
"Mental retardation, autosomal dominant 22",DI-03970,MRD22
"Mental retardation, autosomal dominant 23",DI-04067,MRD23
"Mental retardation, autosomal dominant 26",DI-04120,MRD26
"Mental retardation, autosomal dominant 29",DI-04252,MRD29
"Mental retardation, autosomal dominant 3",DI-00711,MRD3
"Mental retardation, autosomal dominant 30",DI-04257,MRD30
"Mental retardation, autosomal dominant 31",DI-04309,MRD31
"Mental retardation, autosomal dominant 33",DI-04391,MRD33
"Mental retardation, autosomal dominant 34",DI-04418,MRD34
"Mental retardation, autosomal dominant 35",DI-04419,MRD35
"Mental retardation, autosomal dominant 36",DI-04420,MRD36
"Mental retardation, autosomal dominant 38",DI-04443,MRD38
"Mental retardation, autosomal dominant 39",DI-04498,MRD39
"Mental retardation, autosomal dominant 4",DI-00712,MRD4
"Mental retardation, autosomal dominant 40",DI-04513,MRD40
"Mental retardation, autosomal dominant 41",DI-04716,MRD41
"Mental retardation, autosomal dominant 42",DI-04731,MRD42
"Mental retardation, autosomal dominant 43",DI-04747,MRD43
"Mental retardation, autosomal dominant 45",DI-05061,MRD45
"Mental retardation, autosomal dominant 46",DI-05062,MRD46
"Mental retardation, autosomal dominant 47",DI-05063,MRD47
"Mental retardation, autosomal dominant 48",DI-05131,MRD48
"Mental retardation, autosomal dominant 5",DI-00713,MRD5
"Mental retardation, autosomal dominant 50",DI-05151,MRD50
"Mental retardation, autosomal dominant 51",DI-05152,MRD51
"Mental retardation, autosomal dominant 52",DI-05153,MRD52
"Mental retardation, autosomal dominant 53",DI-05154,MRD53
"Mental retardation, autosomal dominant 54",DI-05155,MRD54
"Mental retardation, autosomal dominant 55, with seizures",DI-05178,MRD55
"Mental retardation, autosomal dominant 56",DI-05186,MRD56
"Mental retardation, autosomal dominant 57",DI-05289,MRD57
"Mental retardation, autosomal dominant 58",DI-05326,MRD58
"Mental retardation, autosomal dominant 6, with or without seizures",DI-03128,MRD6
"Mental retardation, autosomal dominant 7",DI-03186,MRD7
"Mental retardation, autosomal recessive 1",DI-00714,MRT1
"Mental retardation, autosomal recessive 12",DI-03255,MRT12
"Mental retardation, autosomal recessive 13",DI-02585,MRT13
"Mental retardation, autosomal recessive 14",DI-03192,MRT14
"Mental retardation, autosomal recessive 15",DI-03241,MRT15
"Mental retardation, autosomal recessive 18",DI-03250,MRT18
"Mental retardation, autosomal recessive 27",DI-04059,MRT27
"Mental retardation, autosomal recessive 2A",DI-00715,MRT2A
"Mental retardation, autosomal recessive 3",DI-00716,MRT3
"Mental retardation, autosomal recessive 34, with variant lissencephaly",DI-03395,MRT34
"Mental retardation, autosomal recessive 36",DI-03799,MRT36
"Mental retardation, autosomal recessive 37",DI-03943,MRT37
"Mental retardation, autosomal recessive 38",DI-03939,MRT38
"Mental retardation, autosomal recessive 39",DI-03963,MRT39
"Mental retardation, autosomal recessive 40",DI-04004,MRT40
"Mental retardation, autosomal recessive 41",DI-04038,MRT41
"Mental retardation, autosomal recessive 42",DI-04086,MRT42
"Mental retardation, autosomal recessive 43",DI-04069,MRT43
"Mental retardation, autosomal recessive 44",DI-04192,MRT44
"Mental retardation, autosomal recessive 45",DI-04220,MRT45
"Mental retardation, autosomal recessive 46",DI-04283,MRT46
"Mental retardation, autosomal recessive 47",DI-04311,MRT47
"Mental retardation, autosomal recessive 48",DI-04357,MRT48
"Mental retardation, autosomal recessive 49",DI-04363,MRT49
"Mental retardation, autosomal recessive 5",DI-03476,MRT5
"Mental retardation, autosomal recessive 50",DI-04481,MRT50
"Mental retardation, autosomal recessive 51",DI-04633,MRT51
"Mental retardation, autosomal recessive 52",DI-04697,MRT52
"Mental retardation, autosomal recessive 53",DI-04693,MRT53
"Mental retardation, autosomal recessive 54",DI-04760,MRT54
"Mental retardation, autosomal recessive 55",DI-04776,MRT55
"Mental retardation, autosomal recessive 56",DI-04823,MRT56
"Mental retardation, autosomal recessive 57",DI-04875,MRT57
"Mental retardation, autosomal recessive 58",DI-04902,MRT58
"Mental retardation, autosomal recessive 59",DI-04942,MRT59
"Mental retardation, autosomal recessive 6",DI-01245,MRT6
"Mental retardation, autosomal recessive 60",DI-04989,MRT60
"Mental retardation, autosomal recessive 61",DI-05133,MRT61
"Mental retardation, autosomal recessive 63",DI-05317,MRT63
"Mental retardation, autosomal recessive 64",DI-05318,MRT64
"Mental retardation, autosomal recessive 65",DI-05327,MRT65
"Mental retardation, autosomal recessive 66",DI-05434,MRT66
"Mental retardation, autosomal recessive 7",DI-00717,MRT7
"Mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma",DI-03642,MEDNIK
"Mental retardation, truncal obesity, retinal dystrophy, and micropenis",DI-02533,MORMS
"Mental retardation, X-linked 1",DI-02789,MRX1
"Mental retardation, X-linked 100",DI-04156,MRX100
"Mental retardation, X-linked 101",DI-04186,MRX101
"Mental retardation, X-linked 103",DI-04814,MRX103
"Mental retardation, X-linked 104",DI-04815,MRX104
"Mental retardation, X-linked 105",DI-04816,MRX105
"Mental retardation, X-linked 106",DI-05009,MRX106
"Mental retardation, X-linked 107",DI-05198,MRX107
"Mental retardation, X-linked 12",DI-04511,MRX12
"Mental retardation, X-linked 19",DI-03127,MRX19
"Mental retardation, X-linked 21",DI-00726,MRX21
"Mental retardation, X-linked 3",DI-03561,MRX3
"Mental retardation, X-linked 30",DI-00727,MRX30
"Mental retardation, X-linked 41",DI-00728,MRX41
"Mental retardation, X-linked 44",DI-00729,MRX44
"Mental retardation, X-linked 45",DI-00730,MRX45
"Mental retardation, X-linked 46",DI-00731,MRX46
"Mental retardation, X-linked 58",DI-00733,MRX58
"Mental retardation, X-linked 63",DI-00734,MRX63
"Mental retardation, X-linked 72",DI-02586,MRX72
"Mental retardation, X-linked 88",DI-03180,MRX88
"Mental retardation, X-linked 89",DI-00735,MRX89
"Mental retardation, X-linked 90",DI-00736,MRX90
"Mental retardation, X-linked 91",DI-00737,MRX91
"Mental retardation, X-linked 92",DI-00738,MRX92
"Mental retardation, X-linked 93",DI-01967,MRX93
"Mental retardation, X-linked 94",DI-00739,MRX94
"Mental retardation, X-linked 95",DI-00740,MRX95
"Mental retardation, X-linked 96",DI-02522,MRX96
"Mental retardation, X-linked 97",DI-02523,MRX97
"Mental retardation, X-linked 98",DI-03949,MRX98
"Mental retardation, X-linked 99",DI-04101,MRX99
"Mental retardation, X-linked 99, syndromic, female-restricted",DI-04666,MRXS99F
"Mental retardation, X-linked, associated with fragile site FRAXE",DI-01629,MRFRAXE
"Mental retardation, X-linked, syndromic, 11",DI-04582,MRXS11
"Mental retardation, X-linked, syndromic, 13",DI-00722,MRXS13
"Mental retardation, X-linked, syndromic, 14",DI-02460,MRXS14
"Mental retardation, X-linked, syndromic, 15",DI-01309,MRXS15
"Mental retardation, X-linked, syndromic, 28",DI-00053,MRXS28
"Mental retardation, X-linked, syndromic, 32",DI-03627,MRXS32
"Mental retardation, X-linked, syndromic, 33",DI-04617,MRXS33
"Mental retardation, X-linked, syndromic, 34",DI-04618,MRXS34
"Mental retardation, X-linked, syndromic, 35",DI-05030,MRXS35
"Mental retardation, X-linked, syndromic, Bain type",DI-04850,MRXSB
"Mental retardation, X-linked, syndromic, Christianson type",DI-01965,MRXSCH
"Mental retardation, X-linked, syndromic, Claes-Jensen type",DI-00718,MRXSCJ
"Mental retardation, X-linked, syndromic, Houge type",DI-05156,MRXSHG
"Mental retardation, X-linked, syndromic, Lubs type",DI-02752,MRXSL
"Mental retardation, X-linked, syndromic, Martin-Probst type",DI-03524,MRXSMP
"Mental retardation, X-linked, syndromic, Nascimento-type",DI-03285,MRXSN
"Mental retardation, X-linked, syndromic, OPHN1-related",DI-00719,MRXSO
"Mental retardation, X-linked, syndromic, Siderius type",DI-01966,MRXSSD
"Mental retardation, X-linked, syndromic, Stocco dos Santos type",DI-02342,SDSX
"Mental retardation, X-linked, syndromic, Turner type",DI-00720,MRXST
"Mental retardation, X-linked, with epilepsy",DI-00741,MRXE
"Mental retardation, X-linked, with isolated growth hormone deficiency",DI-01968,MRXGH
"Mental retardation, X-linked, with or without seizures, ARX-related",DI-00724,MRXARX
"Mental retardation-hypotonic facies syndrome, X-linked, 1",DI-00723,MRXHF1
Merosin-deficient congenital muscular dystrophy 1A,DI-01969,MDC1A
"Mesothelioma, malignant",DI-03213,MESOM
"Metabolic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",DI-04674,MECRCN
"Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression",DI-05563,MECREN
Metacarpal 4-5 fusion,DI-03931,MF4
Metachondromatosis,DI-02832,MC
Metachromatic leukodystrophy,DI-00652,MLD
Metachromatic leukodystrophy due to saposin-B deficiency,DI-02744,MLD-SAPB
Metaphyseal anadysplasia 1,DI-02635,MANDP1
Metaphyseal anadysplasia 2,DI-02636,MANDP2
"Metaphyseal chondrodysplasia, Jansen type",DI-01847,MCDJ
Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly,DI-03699,MDMHB
"Metaphyseal dysplasia, Spahr type",DI-04373,MDST
Metatropic dysplasia,DI-02481,MTD
Methemoglobinemia and ambiguous genitalia,DI-02720,METAG
Methemoglobinemia CYB5R3-related,DI-01723,METHB-CYB5R3
Methionine adenosyltransferase deficiency,DI-02745,MATD
Methylenetetrahydrofolate reductase deficiency,DI-01972,MTHFRD
Methylmalonate semialdehyde dehydrogenase deficiency,DI-01973,MMSDHD
Methylmalonic aciduria and homocystinuria type cblJ,DI-03558,MAHCJ
"Methylmalonic aciduria and homocystinuria, cblC type",DI-00744,MAHCC
"Methylmalonic aciduria and homocystinuria, cblD type",DI-00745,MAHCD
"Methylmalonic aciduria and homocystinuria, cblF type",DI-00746,MAHCF
Methylmalonic aciduria type cblA,DI-00747,MMAA
Methylmalonic aciduria type cblB,DI-00748,MMAB
Methylmalonic aciduria type mut,DI-00749,MMAM
"Methylmalonic aciduria, transient, due to transcobalamin receptor defect",DI-02979,MMATC
Methylmalonyl-CoA epimerase deficiency,DI-01974,MCEED
Mevalonic aciduria,DI-01975,MEVA
"Microangiopathy and leukoencephalopathy, pontine, autosomal dominant",DI-05644,PADMAL
Microcephalic osteodysplastic primordial dwarfism 2,DI-01976,MOPD2
"Microcephaly 1, primary, autosomal recessive",DI-00751,MCPH1
"Microcephaly 10, primary, autosomal recessive",DI-03647,MCPH10
"Microcephaly 11, primary, autosomal recessive",DI-03890,MCPH11
"Microcephaly 12, primary, autosomal recessive",DI-04262,MCPH12
"Microcephaly 13, primary, autosomal recessive",DI-04269,MCPH13
"Microcephaly 14, primary, autosomal recessive",DI-04446,MCPH14
"Microcephaly 15, primary, autosomal recessive",DI-04491,MCPH15
"Microcephaly 16, primary, autosomal recessive",DI-04594,MCPH16
"Microcephaly 17, primary, autosomal recessive",DI-04821,MCPH17
"Microcephaly 18, primary, autosomal dominant",DI-05016,MCPH18
"Microcephaly 19, primary, autosomal recessive",DI-05157,MCPH19
"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",DI-03164,MCPH2
"Microcephaly 20, primary, autosomal recessive",DI-05207,MCPH20
"Microcephaly 21, primary, autosomal recessive",DI-05234,MCPH21
"Microcephaly 22, primary, autosomal recessive",DI-05235,MCPH22
"Microcephaly 23, primary, autosomal recessive",DI-05236,MCPH23
"Microcephaly 24, primary, autosomal recessive",DI-05381,MCPH24
"Microcephaly 25, primary, autosomal recessive",DI-05495,MCPH25
"Microcephaly 3, primary, autosomal recessive",DI-02206,MCPH3
"Microcephaly 4, primary, autosomal recessive",DI-02860,MCPH4
"Microcephaly 5, primary, autosomal recessive",DI-00752,MCPH5
"Microcephaly 6, primary, autosomal recessive",DI-02207,MCPH6
"Microcephaly 7, primary, autosomal recessive",DI-00753,MCPH7
"Microcephaly 8, primary, autosomal recessive",DI-03470,MCPH8
"Microcephaly 9, primary, autosomal recessive",DI-03546,MCPH9
"Microcephaly and chorioretinopathy, autosomal recessive, 1",DI-03393,MCCRP1
"Microcephaly and chorioretinopathy, autosomal recessive, 2",DI-04299,MCCRP2
"Microcephaly and chorioretinopathy, autosomal recessive, 3",DI-04411,MCCRP3
"Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation",DI-03432,MCLMR
"Microcephaly, Amish type",DI-00750,MCPHA
"Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum",DI-05464,MCIDDS
"Microcephaly, congenital cataract, and psoriasiform dermatitis",DI-04663,MCCPD
"Microcephaly, developmental delay, and brittle hair syndrome",DI-05847,MDBH
"Microcephaly, epilepsy, and diabetes syndrome",DI-03273,MEDS
"Microcephaly, facial dysmorphism, renal agenesis, and ambiguous genitalia syndrome",DI-05346,MFRG
"Microcephaly, growth deficiency, seizures, and brain malformations",DI-05506,MIGSB
"Microcephaly, growth restriction, and increased sister chromatid exchange 2",DI-05320,MGRISCE2
"Microcephaly, postnatal progressive, with seizures and brain atrophy",DI-02983,MCPHSBA
"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy",DI-04103,MSCCA
"Microcephaly, seizures, and developmental delay",DI-02855,MCSZ
"Microcephaly, short stature, and impaired glucose metabolism 1",DI-04234,MSSGM1
"Microcephaly, short stature, and impaired glucose metabolism 2",DI-04652,MSSGM2
"Microcephaly, short stature, and limb abnormalities",DI-05065,MISSLA
"Microcephaly, short stature, and polymicrogyria with or without seizures",DI-03556,MSSP
Microcephaly-capillary malformation syndrome,DI-03797,MICCAP
Microcephaly-micromelia syndrome,DI-05053,MIMIS
"Microcornea, myopic chorioretinal atrophy, and telecanthus",DI-03907,MMCAT
Microhydranencephaly,DI-04102,MHAC
Micropenis,DI-04741,MCRPENS
Microphthalmia with cataracts and iris abnormalities,DI-00768,MCOPCTI
"Microphthalmia, isolated, 2",DI-00755,MCOP2
"Microphthalmia, isolated, 3",DI-00756,MCOP3
"Microphthalmia, isolated, 4",DI-02535,MCOP4
"Microphthalmia, isolated, 5",DI-00754,MCOP5
"Microphthalmia, isolated, 6",DI-02986,MCOP6
"Microphthalmia, isolated, 7",DI-02974,MCOP7
"Microphthalmia, isolated, 8",DI-03703,MCOP8
"Microphthalmia, isolated, with coloboma, 10",DI-04459,MCOPCB10
"Microphthalmia, isolated, with coloboma, 3",DI-00759,MCOPCB3
"Microphthalmia, isolated, with coloboma, 5",DI-00760,MCOPCB5
"Microphthalmia, isolated, with coloboma, 6",DI-02975,MCOPCB6
"Microphthalmia, isolated, with coloboma, 7",DI-03384,MCOPCB7
"Microphthalmia, isolated, with coloboma, 8",DI-03952,MCOPCB8
"Microphthalmia, isolated, with coloboma, 9",DI-03704,MCOPCB9
"Microphthalmia, syndromic, 1",DI-04013,MCOPS1
"Microphthalmia, syndromic, 11",DI-03496,MCOPS11
"Microphthalmia, syndromic, 12",DI-03951,MCOPS12
"Microphthalmia, syndromic, 13",DI-04169,MCOPS13
"Microphthalmia, syndromic, 15",DI-05725,MCOPS15
"Microphthalmia, syndromic, 2",DI-00761,MCOPS2
"Microphthalmia, syndromic, 3",DI-00762,MCOPS3
"Microphthalmia, syndromic, 5",DI-00763,MCOPS5
"Microphthalmia, syndromic, 6",DI-00764,MCOPS6
"Microphthalmia, syndromic, 8",DI-00766,MCOPS8
"Microphthalmia, syndromic, 9",DI-00767,MCOPS9
Microphthalmia/coloboma and skeletal dysplasia syndrome,DI-04146,MCSKS
"Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma",DI-02815,MSPKA
Microtia with or without hearing impairment,DI-03965,MCRT
"Microtia, hearing impairment, and cleft palate",DI-01978,MHICP
Microvascular complications of diabetes 1,DI-02754,MVCD1
Microvascular complications of diabetes 2,DI-02755,MVCD2
Microvascular complications of diabetes 3,DI-02756,MVCD3
Microvascular complications of diabetes 4,DI-02757,MVCD4
Microvascular complications of diabetes 5,DI-02758,MVCD5
Microvascular complications of diabetes 6,DI-02759,MVCD6
Microvascular complications of diabetes 7,DI-02760,MVCD7
"Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis",DI-04939,MFHIEN
Migraine with or without aura 13,DI-02934,MGR13
"Migraine, familial hemiplegic, 1",DI-01570,FHM1
"Migraine, familial hemiplegic, 2",DI-01571,FHM2
"Migraine, familial hemiplegic, 3",DI-01572,FHM3
Miller-Dieker lissencephaly syndrome,DI-00769,MDLS
MIRAGE syndrome,DI-04777,MIRAGE
Mirror movements 1,DI-02833,MRMV1
Mirror movements 2,DI-03399,MRMV2
Mirror movements 3,DI-04270,MRMV3
Mirror movements 4,DI-05444,MRMV4
Mismatch repair cancer syndrome,DI-01980,MMRCS
Mitchell syndrome,DI-05884,MITCH
Mitchell-Riley syndrome,DI-02515,MTCHRS
"Mitochondrial complex I deficiency, mitochondrial type 1",DI-05429,MC1DM1
"Mitochondrial complex I deficiency, nuclear type 1",DI-01981,MC1DN1
"Mitochondrial complex I deficiency, nuclear type 10",DI-05408,MC1DN10
"Mitochondrial complex I deficiency, nuclear type 11",DI-05409,MC1DN11
"Mitochondrial complex I deficiency, nuclear type 12",DI-05399,MC1DN12
"Mitochondrial complex I deficiency, nuclear type 13",DI-05410,MC1DN13
"Mitochondrial complex I deficiency, nuclear type 14",DI-05411,MC1DN14
"Mitochondrial complex I deficiency, nuclear type 15",DI-05412,MC1DN15
"Mitochondrial complex I deficiency, nuclear type 16",DI-05413,MC1DN16
"Mitochondrial complex I deficiency, nuclear type 17",DI-05414,MC1DN17
"Mitochondrial complex I deficiency, nuclear type 18",DI-05415,MC1DN18
"Mitochondrial complex I deficiency, nuclear type 19",DI-05416,MC1DN19
"Mitochondrial complex I deficiency, nuclear type 2",DI-05401,MC1DN2
"Mitochondrial complex I deficiency, nuclear type 20",DI-01173,MC1DN20
"Mitochondrial complex I deficiency, nuclear type 21",DI-05417,MC1DN21
"Mitochondrial complex I deficiency, nuclear type 22",DI-05418,MC1DN22
"Mitochondrial complex I deficiency, nuclear type 23",DI-05419,MC1DN23
"Mitochondrial complex I deficiency, nuclear type 24",DI-05420,MC1DN24
"Mitochondrial complex I deficiency, nuclear type 25",DI-05421,MC1DN25
"Mitochondrial complex I deficiency, nuclear type 26",DI-05422,MC1DN26
"Mitochondrial complex I deficiency, nuclear type 27",DI-05423,MC1DN27
"Mitochondrial complex I deficiency, nuclear type 28",DI-05424,MC1DN28
"Mitochondrial complex I deficiency, nuclear type 29",DI-05425,MC1DN29
"Mitochondrial complex I deficiency, nuclear type 3",DI-05402,MC1DN3
"Mitochondrial complex I deficiency, nuclear type 30",DI-05400,MC1DN30
"Mitochondrial complex I deficiency, nuclear type 31",DI-05426,MC1DN31
"Mitochondrial complex I deficiency, nuclear type 32",DI-05427,MC1DN32
"Mitochondrial complex I deficiency, nuclear type 33",DI-05428,MC1DN33
"Mitochondrial complex I deficiency, nuclear type 34",DI-05760,MC1DN34
"Mitochondrial complex I deficiency, nuclear type 35",DI-05907,MC1DN35
"Mitochondrial complex I deficiency, nuclear type 4",DI-05403,MC1DN4
"Mitochondrial complex I deficiency, nuclear type 5",DI-05404,MC1DN5
"Mitochondrial complex I deficiency, nuclear type 6",DI-05405,MC1DN6
"Mitochondrial complex I deficiency, nuclear type 7",DI-05406,MC1DN7
"Mitochondrial complex I deficiency, nuclear type 8",DI-05398,MC1DN8
"Mitochondrial complex I deficiency, nuclear type 9",DI-05407,MC1DN9
Mitochondrial complex II deficiency,DI-01380,MT-C2D
"Mitochondrial complex III deficiency, nuclear 1",DI-01982,MC3DN1
"Mitochondrial complex III deficiency, nuclear 10",DI-05759,MC3DN10
"Mitochondrial complex III deficiency, nuclear 2",DI-03738,MC3DN2
"Mitochondrial complex III deficiency, nuclear 3",DI-03736,MC3DN3
"Mitochondrial complex III deficiency, nuclear 4",DI-03737,MC3DN4
"Mitochondrial complex III deficiency, nuclear 5",DI-03739,MC3DN5
"Mitochondrial complex III deficiency, nuclear 6",DI-03905,MC3DN6
"Mitochondrial complex III deficiency, nuclear 7",DI-04118,MC3DN7
"Mitochondrial complex III deficiency, nuclear 8",DI-04116,MC3DN8
"Mitochondrial complex III deficiency, nuclear 9",DI-04284,MC3DN9
Mitochondrial complex IV deficiency,DI-01469,MT-C4D
"Mitochondrial complex IV deficiency, nuclear type 10",DI-05932,MC4DN10
"Mitochondrial complex IV deficiency, nuclear type 11",DI-05933,MC4DN11
"Mitochondrial complex IV deficiency, nuclear type 12",DI-05934,MC4DN12
"Mitochondrial complex IV deficiency, nuclear type 14",DI-05935,MC4DN14
"Mitochondrial complex IV deficiency, nuclear type 15",DI-05936,MC4DN15
"Mitochondrial complex IV deficiency, nuclear type 16",DI-05937,MC4DN16
"Mitochondrial complex IV deficiency, nuclear type 17",DI-05938,MC4DN17
"Mitochondrial complex IV deficiency, nuclear type 18",DI-05939,MC4DN18
"Mitochondrial complex IV deficiency, nuclear type 19",DI-05940,MC4DN19
"Mitochondrial complex IV deficiency, nuclear type 20",DI-05941,MC4DN20
"Mitochondrial complex IV deficiency, nuclear type 21",DI-05942,MC4DN21
"Mitochondrial complex IV deficiency, nuclear type 3",DI-05928,MC4DN3
"Mitochondrial complex IV deficiency, nuclear type 4",DI-05929,MC4DN4
"Mitochondrial complex IV deficiency, nuclear type 7",DI-05930,MC4DN7
"Mitochondrial complex IV deficiency, nuclear type 8",DI-05931,MC4DN8
"Mitochondrial complex V deficiency, mitochondrial 1",DI-03714,MC5DM1
"Mitochondrial complex V deficiency, mitochondrial 2",DI-03713,MC5DM2
"Mitochondrial complex V deficiency, nuclear type 1",DI-01381,MC5DN1
"Mitochondrial complex V deficiency, nuclear type 2",DI-03147,MC5DN2
"Mitochondrial complex V deficiency, nuclear type 3",DI-03148,MC5DN3
"Mitochondrial complex V deficiency, nuclear type 4",DI-03740,MC5DN4
"Mitochondrial complex V deficiency, nuclear type 5",DI-05335,MC5DN5
"Mitochondrial complex V deficiency, nuclear type 6",DI-05711,MC5DN6
"Mitochondrial DNA depletion syndrome 1, MNGIE type",DI-01984,MTDPS1
Mitochondrial DNA depletion syndrome 10,DI-03390,MTDPS10
Mitochondrial DNA depletion syndrome 11,DI-03645,MTDPS11
"Mitochondrial DNA depletion syndrome 12A, cardiomyopathic type",DI-04880,MTDPS12A
"Mitochondrial DNA depletion syndrome 12B, cardiomyopathic type",DI-03934,MTDPS12B
Mitochondrial DNA depletion syndrome 13,DI-03915,MTDPS13
"Mitochondrial DNA depletion syndrome 14, cardioencephalomyopathic type",DI-04691,MTDPS14
"Mitochondrial DNA depletion syndrome 15, hepatocerebral type",DI-04864,MTDPS15
"Mitochondrial DNA depletion syndrome 16, hepatic type",DI-05631,MTDPS16
Mitochondrial DNA depletion syndrome 17,DI-05654,MTDPS17
Mitochondrial DNA depletion syndrome 18,DI-05790,MTDPS18
Mitochondrial DNA depletion syndrome 19,DI-05891,MTDPS19
Mitochondrial DNA depletion syndrome 2,DI-02018,MTDPS2
Mitochondrial DNA depletion syndrome 3,DI-01709,MTDPS3
Mitochondrial DNA depletion syndrome 4A,DI-00079,MTDPS4A
Mitochondrial DNA depletion syndrome 4B,DI-02989,MTDPS4B
Mitochondrial DNA depletion syndrome 5,DI-01523,MTDPS5
Mitochondrial DNA depletion syndrome 6,DI-03020,MTDPS6
Mitochondrial DNA depletion syndrome 7,DI-01065,MTDPS7
Mitochondrial DNA depletion syndrome 8A,DI-01522,MTDPS8A
Mitochondrial DNA depletion syndrome 8B,DI-02988,MTDPS8B
Mitochondrial DNA depletion syndrome 9,DI-01609,MTDPS9
